F5 NGINX & BIG-IP Kubernetes Solutions — Technology Feature Comparison Matrix,,,,,,,,
Comparison of: F5 NGINX Ingress Controller (NIC) | Community Ingress-NGINX | F5 NGINX Gateway Fabric (NGF) | F5 BIG-IP Next for Kubernetes (BNK) | F5 BIG-IP Container Ingress Services (CIS),,,,,,,,
Feature / Category,"F5 NGINX Ingress Controller
(NIC — nginxinc/kubernetes-ingress)","Community Ingress-NGINX
(kubernetes/ingress-nginx) ?? EOL Mar 2026","F5 NGINX Gateway Fabric
(NGF — nginx/nginx-gateway-fabric)","F5 BIG-IP Next for Kubernetes
(BNK — DPU-Accelerated, Telco & AI)","F5 BIG-IP Container Ingress Services
(CIS — External BIG-IP ADC Connector)",,,
?? TARGET USE CASE,"General-purpose K8s ingress
(enterprise, cloud-native apps)","General-purpose K8s ingress
(legacy — EOL Mar 2026)","Modern cloud-native K8s ingress
(future-standard Gateway API)","Telco/Service Provider, AI factories,
high-performance large-scale infra","Enterprises with existing BIG-IP investments;
Kubernetes extending to external ADC;
OpenShift + hybrid multi-cluster environments",,,
??  GENERAL OVERVIEW,,,,,,,,
Maintained By,F5 / NGINX Inc. (dedicated team),Kubernetes Community (EOL Mar 2026),F5 / NGINX Inc. (dedicated team),F5 (dedicated engineering team),F5 (open-source — included with BIG-IP support),,,
GitHub Repository,nginx/kubernetes-ingress,kubernetes/ingress-nginx,nginx/nginx-gateway-fabric,? No (F5 Artiifactory),"F5Networks/k8s-bigip-ctlr
(clouddocs.f5.com/containers/latest)",,,
License,Apache 2.0 (OSS) + Commercial (Plus),Apache 2.0 (OSS),Apache 2.0 (OSS) + Commercial (Plus),?? Commercial — F5 / MyF5 entitlement required,Apache 2.0 (OSS) — support via BIG-IP entitlement,,,
Kubernetes API Used,"Ingress API + CRDs (VirtualServer, etc.)",Ingress API + Annotations,"Gateway API (GatewayClass, Gateway, Routes)","Gateway API (GatewayClass, Gateway, Routes,Virtual Servers, etc)","Ingress API + OpenShift Routes + F5 CRDs (VirtualServer, TransportServer, Policy, ExternalDNS) + AS3 ConfigMap",,,
Data Plane,NGINX Open Source or NGINX Plus,NGINX Open Source (Lua extensions),NGINX Open Source or NGINX Plus,F5 TMM (Traffic Management Microkernel) — optionally DPU-accelerated (NVIDIA BlueField-3),F5 BIG-IP (hardware or VE) — external to the cluster; TMM data plane,,,
Maturity / Status,? Actively developed — production-grade,?? Feature frozen — EOL March 2026,? Actively developed — future-forward,? Actively developed — future-forward,? Actively developed — v2.x GA — enterprise production-grade,,,
Market Share / Adoption,~40% of Kubernetes Ingress deployments,Previously ~41% — declining post-EOL,Growing — CNCF-conformant GA release,telco/service provider & AI infrastructure; growing enterprise,Established — prevalent in enterprises with existing BIG-IP investments,,,
Commercial Tier Available,? Yes — NGINX Plus integration,? No,? Yes — NGINX Plus / NGINX One,"? Yes — SPK, CNF and BNK",?? Included with BIG-IP license — CIS itself is open source,,,
CNCF Conformance,N/A (Ingress API),N/A (Ingress API),? Yes — Gateway API conformant,? Yes — Gateway API v1.2.0 conformant,?? N/A — control-plane connector; data plane is BIG-IP (not Gateway API),,,
??  CONFIGURATION MODEL,,,,,,,,
